doc_id,filename,file_format,doc_title,compliance_area,compliance_subarea,doc_type,source_authority,approx_pages,contains_named_individuals,contains_named_organisations,anonymisation_required,attribution_required,attribution_text,notes
doc_002,EPS AGM 2026 - Agenda.docx,docx,AGM Agenda 2026,governance,agm_and_meetings,example,repository,1,FALSE,TRUE,TRUE,FALSE,,EPS document — anonymise to Caledonian Arts Forum. Example AGM agenda.
doc_003,EPS Appropriate Behaviour Policy v1.2 20250921.docx,docx,Appropriate Behaviour Policy,governance,conduct_and_behaviour,policy,repository,2,TRUE,TRUE,TRUE,FALSE,,EPS document — anonymise to Caledonian Arts Forum. Named individuals present — high priority for Presidio review.
doc_004,EPS Constitution 2026 v2.1.docx,docx,Constitution 2026,governance,constitutional_documents,framework,repository,30,TRUE,TRUE,TRUE,TRUE,Loosely based on the Burness Paull two-tier SCIO constitution template. Template available via SCVO. Attribution required wherever referenced.,EPS document — anonymise to Caledonian Arts Forum. Named individuals present.
doc_007,EPS Data Protection Policy - 2026 V2.2.docx,docx,Data Protection Policy,data_protection,data_protection_policy,policy,repository,7,FALSE,TRUE,TRUE,FALSE,,EPS document — anonymise to Caledonian Arts Forum. ICO relevant.
doc_008,EPS Privacy Notice - 2026 V2.2.docx,docx,Privacy Notice,data_protection,privacy_notice,policy,repository,4,FALSE,TRUE,TRUE,FALSE,,EPS document — anonymise to Caledonian Arts Forum. ICO relevant.
doc_009,Gateway_Walks_Complaints_Procedure_Participants_v06.docx,docx,Complaints Procedure for Participants,governance,complaints,procedure,repository,3,FALSE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust.
doc_010,Lyle Gateway - Gift Register.xlsx,xlsx,Gift Register,financial_controls,gifts_and_hospitality,example,repository,2,FALSE,TRUE,TRUE,FALSE,,XLSX format — blank template — requires separate handling in ingestion pipeline. Anonymise to Strathaven Community Trust.
doc_011,Lyle Gateway - Data-Protection-Policy.docx,docx,Data Protection Policy,data_protection,data_protection_policy,policy,repository,4,TRUE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust. ICO relevant. Named individuals present — high priority for Presidio review.
doc_012,Lyle Gateway - Reserves-policy.docx,docx,Reserves Policy,financial_controls,reserves,policy,repository,2,FALSE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust.
doc_013,Lyle Gateway - Trustee-induction-checklist.docx,docx,Trustee Induction Checklist,governance,trustee_induction,checklist,repository,2,FALSE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust.
doc_014,Lyle Gateway - Trustees-expenses policy.docx,docx,Trustee Expenses Policy,financial_controls,expenses,policy,repository,5,FALSE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust.
doc_015,Lyle Gateway Governance - Initial Review.pdf,pdf,Governance Initial Review,governance,governance_review,framework,repository,8,TRUE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust. Consultation review document. Named individuals present.
doc_016,Lyle Gateway IT and Web Initial Review.pdf,pdf,IT and Web Initial Review,data_protection,it_and_information_security,framework,repository,7,TRUE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust. ICO relevant. Named individuals present. Based on consultant Q&A and independent research.
doc_017,Lyle Gateway SCIO - Constitution DRAFT v0.5.docx,docx,SCIO Constitution Draft,governance,constitutional_documents,framework,repository,27,FALSE,TRUE,TRUE,TRUE,Based on Burness Paull two-tier SCIO constitution template distributed via SCVO. Attribution required wherever referenced. Additional Burness Paull templates (Tier 1 and others) to be sourced.,Lyle Gateway document — anonymise to Strathaven Community Trust. Draft pending board approval.
doc_018,Lyle Gateway Values - draft.docx,docx,Organisational Values,governance,strategy_and_values,example,repository,2,FALSE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust. Draft pending board approval.
doc_019,LyleGateway_EDI_Policy_v05.docx,docx,Equality Diversity and Inclusion Policy,governance,edi,policy,repository,7,FALSE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust.
doc_020,LyleGateway_Safeguarding_Policy_v0.5.docx,docx,Safeguarding Policy,safeguarding,safeguarding_policy,policy,repository,21,FALSE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust. Special category data likely. Largest document in repository — chunking strategy critical.
doc_021,LyleGateway_Volunteer_Safeguarding_Guide_v1_2.docx,docx,Volunteer Safeguarding Guide,safeguarding,volunteer_safeguarding,guidance,repository,6,FALSE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust.
doc_022,Lyle_Gateway_Acceptable_Use_Policy_v0.5.docx,docx,Acceptable Use Policy,data_protection,acceptable_use,policy,repository,3,FALSE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust. ICO relevant.
doc_023,Lyle_Gateway_Complaints_Procedure_Volunteers_v06.docx,docx,Complaints Procedure for Volunteers,governance,complaints,procedure,repository,3,FALSE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust.
doc_024,Lyle_Gateway_Complaints_and_Challenging_Situations_Procedure_Internal.docx,docx,Internal Complaints and Challenging Situations Procedure,governance,complaints,procedure,repository,10,FALSE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust.
doc_025,Lyle_Gateway_Data_Breach_Procedure_v0.5.docx,docx,Data Breach Procedure,data_protection,data_breach,procedure,repository,3,TRUE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust. ICO relevant. Named individuals present.
doc_026,Lyle_Gateway_Document_Retention_Policy_v0.5.docx,docx,Document Retention Policy,data_protection,retention,policy,repository,3,TRUE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust. ICO relevant. Named individuals present.
doc_027,Lyle_Gateway_Information_Security_Procedure_v0.5.docx,docx,Information Security Procedure,data_protection,it_and_information_security,procedure,repository,6,TRUE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust. ICO relevant. Named individuals present.
doc_028,Lyle_Gateway_Privacy_Notice_v0.5.docx,docx,Privacy Notice,data_protection,privacy_notice,policy,repository,6,FALSE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust. ICO relevant.
doc_029,Lyle_Gateway_SAR_Procedure_v0.5.docx,docx,Subject Access Request Procedure,data_protection,subject_access_requests,procedure,repository,4,TRUE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust. ICO relevant. Named individuals present.
doc_030,Lyle_Gateway_Trustee_and_Staff_Induction_Checklist_v0.5.docx,docx,Trustee and Staff Induction Checklist,governance,trustee_induction,checklist,repository,2,FALSE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust.
doc_031,Referral Policy (Disclosure Scotland) Version 1 2 Dec. 2025.docx,docx,Referral Policy for Disclosure Scotland,safeguarding,disclosure_scotland,policy,repository,2,TRUE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust. Regulated activity. Named individuals present.
doc_032,SG-Handbook-Chapter-1-2024-07-31.pdf,pdf,Church of Scotland Safeguarding Handbook Chapter 1,safeguarding,safeguarding_values,guidance,faith_organisation,10,FALSE,FALSE,FALSE,TRUE,Church of Scotland Safeguarding Handbook. Published by the Church of Scotland. Attribution required wherever referenced. Not Open Government Licence.,Church of Scotland publication — no anonymisation required. Useful reference for faith-connected charities. Compliance subarea updated to safeguarding_values.
doc_033,Safeguarding_Alignment_Note.docx,docx,Safeguarding Alignment Note,safeguarding,safeguarding_policy,guidance,repository,3,FALSE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust. Verify no named individuals on curator review.
doc_034,Secure Handling of Disclosure Information Policy (Lyle Gateway 2 December 2025 V1).docx,docx,Secure Handling of Disclosure Information Policy,safeguarding,disclosure_scotland,policy,repository,4,TRUE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust. Regulated activity. Special category data. Named individuals present.
doc_035,Volunteer Agreement draft and thoughts.docx,docx,Volunteer Agreement,volunteering,volunteer_agreements,template,repository,3,FALSE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust. Draft pending board approval.
doc_036,Volunteer Policy drafts and thoughts.docx,docx,Volunteer Policy,volunteering,volunteer_management,policy,repository,5,FALSE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust. Draft pending board approval.
doc_037,Volunteer_Welcome_Pack_Full.docx,docx,Volunteer Welcome Pack,volunteering,volunteer_induction,template,repository,9,FALSE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust.
doc_038,lyle Gateway - Gift Register Policy v1.0.docx,docx,Gift Register Policy,financial_controls,gifts_and_hospitality,policy,repository,2,FALSE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust.
doc_039,template-SCIO-constitution-two-tier-may2022.docx,docx,SCIO Constitution Template Two-Tier,governance,constitutional_documents,template,legal_publisher,9,FALSE,FALSE,FALSE,TRUE,Burness Paull SCIO constitution template distributed via SCVO. Attribution to Burness Paull required wherever referenced.,Burness Paull template — no anonymisation required. Source authority updated to legal_publisher.
doc_040,volunteer_safeguarding_guide.html,html,Volunteer Safeguarding Guide,safeguarding,volunteer_safeguarding,guidance,repository,1,FALSE,TRUE,TRUE,FALSE,,HTML format — anonymise to Strathaven Community Trust. Check for named organisations before ingestion.
